perftype,instance,fieldssplit
cpu,no,"AvgUsg_mhz"
cpu,no,"AvgUsg_pct"
cpu,no,"MaxUsg_mhz"
cpu,no,"MaxUsg_pct"
cpu,no,"MinUsg_mhz"
cpu,no,"MinUsg_pct"
cpu,no,"SumRdy_ms"
cpu,no,"SumSwpWait_ms"
cpu,no,"AvgDemand_MHz"
cpu,no,"AvgLat_pct"
cpu,no,"Entitle_MHz"
cpu,no,"SumCostop_ms"
cpu,no,"SumIdle_ms"
cpu,no,"SumMaxLtd_ms"
cpu,no,"SumOverlap_ms"
cpu,no,"SumRun_ms"
cpu,yes,"SumSys_ms"
cpu,yes,"SumUsd_ms"
cpu,yes,"SumWait_ms"
disk,no,"AvgRd_KBps"
disk,no,"AvgUsg_KBps"
disk,no,"AvgWr_KBps"
disk,no,"MaxUsg_KBps"
disk,no,"MinUsg_KBps"
disk,no,"MaxTotLat_ms"
disk,yes,AvgCmds
disk,yes,AvgRd
disk,yes,"AvgTotRdLat_ms"
disk,yes,"AvgTotWrLat_ms"
disk,yes,AvgWr
disk,yes,SumBusResets
disk,yes,SumCmds
disk,yes,SumCmdsAbort
disk,yes,SumRd
disk,yes,SumWr
mem,no,"AvgActWr_KB"
mem,no,"AvgAct_KB"
mem,no,"AvgCmpd_KB"
mem,no,"AvgCmpnRate_KBps"
mem,no,"AvgConsum_KB"
mem,no,"AvgDecmpnRate_KBps"
mem,no,"AvgGrtd_KB"
mem,no,"AvgOvrhdMax_KB"
mem,no,"AvgOvrhd_KB"
mem,no,"AvgShrd_KB"
mem,no,"AvgSwpIRate_KBps"
mem,no,"AvgSwpIn_KB"
mem,no,"AvgSwpORate_KBps"
mem,no,"AvgSwpOut_KB"
mem,no,"AvgSwpTarg_KB"
mem,no,"AvgSwpd_KB"
mem,no,"AvgUsg_pct"
mem,no,"AvgVmctlTarg_KB"
mem,no,"AvgVmctl_KB"
mem,no,"AvgZero_KB"
mem,no,"MaxAct_KB"
mem,no,"MaxConsum_KB"
mem,no,"MaxGrtd_KB"
mem,no,"MaxOvrhd_KB"
mem,no,"MaxShrd_KB"
mem,no,"MaxSwpIn_KB"
mem,no,"MaxSwpOut_KB"
mem,no,"MaxSwpTarg_KB"
mem,no,"MaxSwpd_KB"
mem,no,"MaxUsg_pct"
mem,no,"MaxVmctlTarg_KB"
mem,no,"MaxVmctl_KB"
mem,no,"MaxZero_KB"
mem,no,"MinAct_KB"
mem,no,"MinConsum_KB"
mem,no,"MinGrtd_KB"
mem,no,"MinOvrhd_KB"
mem,no,"MinShrd_KB"
mem,no,"MinSwpIn_KB"
mem,no,"MinSwpOut_KB"
mem,no,"MinSwpTarg_KB"
mem,no,"MinSwpd_KB"
mem,no,"MinUsg_pct"
mem,no,"MinVmctlTarg_KB"
mem,no,"MinVmctl_KB"
mem,no,"MinZero_KB"
mem,no,"ZipSaved_KB"
mem,no,"Zipped_KB"
mem,no,"AvgEntitle_KB"
mem,no,"AvgLat_pct"
mem,no,"AvgLlSwapUsd_KB"
mem,no,"AvgLlSwpIRate_KBps"
mem,no,"AvgLlSwpORate_KBps"
mem,no,"AvgOvrhdTouch_KB"
net,no,"AvgRvcd_KBps"
net,no,"AvgUsg_KBps"
net,no,"AvgXmit_KBps"
net,no,"MaxUsg_KBps"
net,no,"MinUsg_KBps"
net,no,"AvgBRx_KBps"
net,no,"AvgBTx_KBps"
net,no,SumBroadcastRx
net,no,SumBroadcastTx
net,no,SumDropRx
net,no,SumDropTx
net,no,SumMulticastRx
net,no,SumMulticastTx
net,yes,SumPktsRx
net,yes,SumPktsTx
power,no,"SumEnergy_j"
resCpu,no,"ActAvg15m_pct"
resCpu,no,"ActAvg1m_pct"
resCpu,no,"ActAvg5m_pct"
resCpu,no,"ActPk15m_pct"
resCpu,no,"ActPk1m_pct"
resCpu,no,"ActPk5m_pct"
resCpu,no,"MaxLtd15_pct"
resCpu,no,"MaxLtd1_pct"
resCpu,no,"MaxLtd5_pct"
resCpu,no,"RunAvg15m_pct"
resCpu,no,"RunAvg1m_pct"
resCpu,no,"RunAvg5m_pct"
resCpu,no,"RunPk15m_pct"
resCpu,no,"RunPk1m_pct"
resCpu,no,"RunPk5m_pct"
resCpu,no,SmplCnt
resCpu,no,"SmplPrd_ms"
sys,no,SumHeartbeat
sys,no,"Uptime_sec"
sys,no,"OsUptime_sec"
vDisk,yes,AvgRd
vDisk,yes,"AvgRd_KBps"
vDisk,yes,"AvgTotRdLat_ms"
vDisk,yes,"AvgTotWrLat_ms"
vDisk,yes,AvgWr
vDisk,yes,"AvgWr_KBps"
vDisk,yes,RdLoadMetric
vDisk,yes,RdOIO
vDisk,yes,WrLoadMetric
vDisk,yes,WrOIO
